ORG;Oco
Escola de Arquitetura, Arte e Design;1
Centro de Estudos Sociais de o Universidade de Coimbra;1
Expresso;1
Federação Mundial de o Saúde Mental;1
Blog Caixa Research;1
Fundação “La Caixa;1
Associação de Psicologia de o UMinho;1
Núcleo de Integração e Formação de Recursos Humanos de o UMinho;1
Saúde Mental;1
departamento de Biologia;1
Escola Ciências de o Terra;1
Técnicos Administrativos de o Universidade;1
Instituto de Psicologia;1
Grupo de Estudos de Vinculação e Parentalidade;1
VoxPop;1
Germany;1
telling us in the first meeting that Portuguese people are very shy and that we Should take the First Step towards;1
great Time;1
Economia e Administração em o Leibniz University Hannover;1
International Office;1
Coordenador Académico;1
AEISCAP;1
AEFML;1
AEFMUP;1
Instituto Politécnico de Coimbra;1
IPVC;1
AEUMAIA;1
Engenharia de o Universidade de o Minho;1
Tuna de Engenharia;1
Tuna de o Universidade Lusíada de Lisboa;1
@ComUM\artigo_27.md*;1
Movimento;1
conselho de Escolas Médicas Portuguesas;1
Instituto politécnico de Leiria;1
@ComUM\artigo_30.md*;1
Hamas;1
aluno de Engenharia e Gestão Industrial de o UMinho;1
Tournament in Mangement and Engineering Skills;1
ESTIEM;1
European Students of Industrial Engineering Management;1
Engenharia e Gestão Industrial de o Minho;1
associação de Debates;1
British Parliament;1
Universidade Técnica de Eindhoven;1
Telefonica;1
Mint Labs – Medical Innovation and Technology Laboratories;1
Academia Socialista;1
CP;1
Plano Estratégico de o UM;1
Escola de Enfermagem e Tecnologias de o Saúde;1
sindicato;1
Sindicato;1
Conselho Técnico-Científico de o Escola de Enfermagem;1
SC Braga;1
Serviços Académicos de o Universidade de o Minho;1
Guarda Nacional Republicana;1
PJ;1
Instituto Universitário de Lisboa;1
Coro de o Departamento de Música de o Escola de Letras;1
Artes e Ciências;1
@ComUM\artigo_41.md*;1
Conselho de o Associações Académicas Portuguesas;1
Associativismo Académico;1
Núcleo e Associações;1
SMN;1
@ComUM\artigo_46.md*;1
Comissões de Festas;1
@ComUM\artigo_48.md*;1
Departamento de Inclusão e Bem-Estar;1
Conselho de Associações Académicas Portuguesas;1
Coro de o Departamento de Música de o UMinho;1
Coro de o Academia de Música de Viana de o Castelo;1
assembleia de o República;1
Plano Nacional para o Alojamento em o Ensino Superior;1
Comissão de Trabalhadores de o Universidade de o Minho;1
Direção-Geral de o Emprego e de o Relações de Trabalho;1
Emprego;1
@ComUM\artigo_61.md*;1
UMAR Braga;1
Provedora de o Estudante;1
Direção de Tecnologias e Sistemas de Informação;1
Conselho Pedagógico de o Escola de Economia e Gestão;1
grupo de Alunos de Ciências de o Comunicação de o Universidade de o Minho;1
ESAD;1
A3RUM;1
Impactou-me;1
Assembleia de o República Portuguesa;1
Unidade de Saúde Campus Vilar;1
Escola de Direito de o UM;1
Departamento cultural;1
Departamento desportivo;1
Departamento recreativo;1
Departamento social;1
Direção de o Associação;1
AGIR;1
Tocávamos;1
Disney;1
Ornatos Violeta;1
Pop;1
I chose Portugal;1
symbol of the history of the city;1
Swiss;1
Polish;1
great Time together!;1
Medicina;1
José Duque/ ComUM;1
@ComUM\artigo_86.md*;1
Marketing Público e Social;1
Federação Portuguesa de o Dadores Benévolos de Sangue;1
FEPODABES;1
Conselho Geral de o Ordem de o Advogados;1
@ComUM\artigo_90.md*;1
@ComUM\artigo_91.md*;1
The New Yorker;1
armazém de o Chá;1
Comissão de Ética de o Universidade de o Minho;1
comissão de Ética;1
FFP;1
Conselho Fiscal e Jurisdicional de o AAUMinho;1
ComUM – Gostávamos;1
@ComUM\artigo_98.md*;1
Lone;1
Grupo de Percussões e de Cabeçudos;1
Fundação de o Tuna;1
Queima de o Fitas;1
Grupo de Música Popular?;1
Festival Internacional de Tunas.</interviewee;1
Universidade Internacional;1
VITAR;1
perspetiva;1
Línguas Orientais;1
UMinho-;1
Carreira profissional;1
CristianaGomes/imagem_janine.jpg;1
Associação de Psicologia de o Universidade;1
Departamento de História de o Instituto de Ciências Sociais de o Universidade de o Minho;1
Unidade Unida;1
@Entrevistas\Danielle.md*;1
DianaPinto;1
EPIC;1
ADS;1
NCA;1
Biologia Aplicada;1
Comunicação e de o Design;1
Comunicação e Marketing;1
marketing;1
Coordenadora de o Departamento de o Comunicação e Imagem;1
Comunicação Estratégica;1
convite.</interviewee;1
ajudado.</interviewee;1
Centro Dramático Nacional;1
Escola de Engenharia Informática;1
Livia> **;1
Livia> **nossa;1
Departamento de Engenharia Biológica</departamento;1
Livia> **Herdou;1
DI;1
Universidade de Campinas</institution></alunos;1
Maia Neves</person;1
Livia>*;1
Liceu feminino;1
Liceal;1
Ford;1
Marcelo Caetano;1
Beatlemania;1
Trabalhar;1
Penguin;1
Angry Young Men;1
Red Brick Universities;1
synge;1
Jesuíta;1
Inglês Técnico;1
Inglês Técnico a Física Ótica;1
Relação Internacionais;1
europeu de Tradução;1
EMT;1
EMT label;1
Mestrado Europeu de Tradução;1
Técnica;1
abril;1
Gabinete de Turismo;1
Padres Jesuítas;1
Psicanálise;1
Psicologia Social, Sociologia,;1
Relações Internacionais Culturais;1
Revolução de Abril;1
Comunicação  Social;1
ADSE;1
Tecnologia Têxtil;1
marinha;1
PCP;1
Cottinelli;1
Livraria;1
Editora Pax;1
Centro Comercial de o Garanjinhos;1
Editora Correio de o Minho;1
Associação de Defesa de o Património;1
Solares;1
Escola Comercial;1
Juventude Popular;1
CDS-PP;1
Partido de o Democracia Cristã;1
Fretilin;1
Serviços de Computação;1
Forças Armadas;1
Emissora Nacional;1
RDP;1
Voluntário de o Obra de Maria;1
Ética Política;1
Economia para;1
Ciências Políticas Leuven;1
Economia e direito;1
Universidade de Deuston;1
universidade de Leuven;1
PRODEP;1
24 de Abril;1
Direito e Medicina;1
Engenharia Física;1
Legião Portuguesa;1
Nine;1
socorrista;1
associação  Académica;1
Clube Naval;1
SNAC;1
Comissão  Instaladora;1
Departamento de  Química;1
Engenharia Civil de Lourenço Marques;1
CETE;1
Núcleo  de Informática;1
Departamento de  Informática;1
Relações Internacionais por o;1
Managing Director;1
Programa de Informação Harvard Medical School Portugal;1
BES Inovação;1
Capital Europeia;1
Plano Estratégico de o UMinho?;1
Saci-Pô;1
coordenador de o Qualidade;1
Segurança;1
Técnico Superior de Segurança e Higiene em o Trabalho Nível V e Responsável Operacional;1
Conselho Nacional de Juventude;1
Juventude Portuguesa;1
Jovens Portugueses;1
Conselho Consultivo de Juventude;1
Comité executivo de o EUSA;1
Licenciatura em Línguas e Literaturas Europeias;1
Nacional Universitário;1
Serviços de Comunicações;1
Conselho Geral de o UM;1
serviço?;1
Gabinete de Apoio a projeto;1
Instituto Universitário Europeu;1
Florença-Itália;1
Licenciatura em Negócios Internacionais;1
AIECEP;1
Agência para o Investimento e Comércio externo de Portugal;1
futebol Clube de o Porto;1
Engenharia Informática de o UMinho;1
Licenciatura em Engenharia Informática;1
UMdicas-104-entrevista1.md*;1
Xadrez;1
Capitais Europeias;1
Sporting de Braga;1
Associação de Futebol de Braga;1
Federações Nacionais Universitárias;1
Europeu de Voleibol;1
Europeu de Basquetebol;1
Europeus de Taekwondo;1
UMdicas-105-entrevista1.md*;1
SAP;1
QUAR2013;1
TOP3 nacional;1
TOP3;1
Regulamentos;1
Assembleia de o Republica;1
Setor Alimentar?;1
Secretariado;1
Departamento Desportivo e Cultural?;1
Coordenação Técnica Desportiva;1
Coaching;1
Assembleia de o UMinho;1
Estudantes minhotos;1
Acção Social Escolar;1
Educação e Investigação;1
CNU´s;1
Fundação AAUM;1
Jovens;1
Conselho de Gestão de o Serviços de Acção Social de o Universidade de o Minho;1
Estatutos de o Serviços de Social;1
administração Pública;1
Contabilidade e Gestão de Stocks;1
OC;1
PAT;1
Presidente de o Conselho Geral de o Universidade de o Minho;1
Conselho Geral?;1
Serviços Desportivos;1
Associativismo Desportivo e Cultural em o UMinho;1
Departamento Social de o SASUM;1
Apoio Psicológico;1
Bloco E de o Residência Universitária de Santa Tecla;1
Núcleo de Estudantes de R.I;1
Desenvolvimento Internacional;1
CIF;1
Cushman & Wakefield;1
Vonlanthen Consulting SA;1
R.I.;1
Caritas Suisse;1
OIM;1
Organização Internacional de o Migrações;1
Delegação Permanente;1
Agência Suíça para o Desenvolvimento Internacional;1
EEAS;1
Organização Mundial de o Comércio;1
ONG’s;1
Centro de Estudos de o Curso de Relações Internacionais;1
Departamento Social & Relações Internacionais;1
Departamento de Saídas Profissionais & Empreendedorismo;1
Conselho Consultivo de o Departamento de Pós Graduação;1
SOLUTIONS?;1
Agência para o Sociedade de o conhecimento;1
FNAA;1
SCAPE;1
Microsoft Research;1
Arquivo Nacional de o Dinamarca;1
Digital Preservation Coalition;1
Comunicação de o Universidade de o Minho;1
@UMdicas\UMdicas-109-entrevista5;1
Secretária;1
Tuna Mista de o nosso Academia;1
Setor de Economato;1
Fundo de Maneio;1
Relatório de Sustentabilidade;1
Conselho de Ação Social;1
Universidades Fundação para Universidades de “Autonomia Reforçada;1
Sistema Interno de Garantia de o Qualidade de o Universidade de o Minho;1
Université Catholique de Louvain;1
Universidade de Lille;1
Comissão de Curso de o Licenciatura em Matemática;1
Setor de Recursos Humanos?;1
Setor de Recursos Humanos de o SASUM;1
Ramo de Especialização em Recursos Humanos e Gestão de o Formação por o Universidade de o Minho;1
Responsabilização de o Serviços;1
Medicina de Trabalho;1
Relatório de Satisfação de o Serviços;1
Ramo de Matemática Pura;1
Departamento de Matemática de o Universidade de o Minho;1
Comissões de curso;1
LCC?;1
Mestrado de Informática e o Mestrado;1
LCC ser o matemática, o Ciências de o Computação e o Tecnologias de o Computação;1
Estudantes/Acesso/Genericos;1
património?;1
Diretora de Serviços de o Departamento Administrativo;1
Administrador de o Universidade de o Minho;1
Administração e Políticas Públicas;1
Núcleo de Estudos em Administração e Políticas Públicas;1
OTOC;1
Contabilidade Analítica;1
Setor de Apoio clínico de o SASUM;1
Setor de Apoio;1
Diretora de o Departamento de Apoio Social;1
Universidade Católica Portuguesa de o Porto;1
Tecnologia Química;1
Alimentar e Tecnologia de o Ambiente;1
Instituto de Emprego;1
U2;1
Housemartins;1
Departamento de Engenharia de Polímeros;1
INC;1
Brigham Women’s Hospital;1
University of Texas;1
Cornel University;1
FDA;1
IAPMEI;1
Segurança Alimentar?;1
Escola de Ciências de o Universidade de Minho;1
Comissão de o Curso de Optometria e Ciências de o Visão;1
Comissão Diretiva de o Mestrado;1
Centro de Física;1
Congresso Internacional de Optometria e Ciências de o Visão;1
Departamento de Fisica;1
Conselho Pedagógico de o Escola de Ciências;1
CNU de Judo;1
SELL Games;1
Europeu de Voleibol Universitário;1
Jugoslávia;1
Electrónica Industrial de o UM;1
LinkedIn;1
Provedor de o Estudante de o UMinho;1
Provedores de o Estudante;1
Conselho Nacional de Provedores de o Estudante de o Ensino Superior;1
Provedores;1
Comissão Diretiva de o LEB;1
Natureza;1
Educação Pré-escolar;1
EB;1
Núcleo de Estudantes em Educação Básica;1
Licenciatura em Educação Básica;1
Cultura Portuguesa;1
The Coors;1
Sporting;1
Brincador;1
Basketball;1
@UMdicas\UMdicas-116-entrevista1;1
Movimento “;1
IPSS’s;1
ICS de o UM;1
Seleção Universitária;1
Seleção?;1
Tecnologia;1
Departamento de Informática de o UMinho;1
Embaixada Lomografica Portuguesa;1
Grupo de Teatro Thiasos;1
Tuna Académica de o Universidade de o Minho;1
Departamento de Apoio Social de o SASUM;1
Finanças;1
aAEUM;1
Software;1
Direção de o AAEUM;1
Seguradora Generalli;1
Generalli;1
PALOP’s;1
SPINUM;1
Engenharia Eletrotécnica;1
City Lights;1
SilicoLife - Computational Biology Solutions ser the Life Sciences;1
Setor de Informática de o SASUM;1
Direção de Tecnologias e Sistemas de Informação de o Universidade de o Minho;1
Setor de Informática;1
Cabe-;1
Bosch Car Multimedia Portugal S.A.;1
Fundação de o Associação Académica de o Universidade de o Minho;1
Fundação Associação Académica de o UMinho;1
Fundação de o Associação Académica;1
Assembleias de Núcleos;1
Fundo Social de Emergência de o UMinho;1
Fundo Social;1
Comité Organizador de o campeonato;1
Assembleia Geral de o EUSA;1
Licenciatura em Sociologia?;1
Licenciatura em Sociologia;1
junta de Freguesia de S.Vitor;1
Clube de o Ginásio Koryo;1
Setor de Secretariado de o Departamento de Apoio Social?;1
Setor de Secretariado de o Departamento de Apoio Social;1
Setor de Secretariado;1
Associação Desportiva de Esposende;1
Seleção Nacional?;1
Nigran;1
*Engenharia Mecânica;1
Diogo?;1
S.C.R.U.M.;1
Clube de Rugby de o Técnico;1
Media;1
Sic;1
Nike?;1
Estatutos Universidade;1
Lions Club de Braga;1
Diretoras Adjuntas de o Curso;1
Gestão de Sistemas de Informação?;1
Departamento de Sistemas de Informação de o Universidade de o Minho;1
Gestão e Sistemas de Informação;1
Gestão de o DSI;1
BETWEIEN?;1
Educação empreendedora;1
Contabilidade;1
Grupo de Folclore de o UMinho?;1
Grupos de Folclore;1
Desportiva de o Departamento Desportivo e Cultural de o SASUM;1
Setor de Gestão Técnica e Desportiva;1
FCDEF UP;1
Técnico de Desporto;1
Competição Desportiva;1
ACD;1
Secretariado/;1
Gestão de Atividades;1
Coordenador Técnico;1
Low Cost;1
Departamento de Engª de Polímeros;1
Cientista;1
Instituto de Nanotecnologia;1
Nano Medicina;1
UN): UN Serviços;1
UN Laboratório;1
UN produto;1
Qualidade Total;1
Start;1
Equipa de o Qualidade;1
EQ;1
administração de o SASUM;1
Desportivas;1
Sector;1
FF;1
Basquetebol masculino;1
Rugby de 7;1
Federação Mais Activa de o Europa;1
câmara;1
Café “O Farol;1
Staff;1
Departamento Desportivo e Cultural de o Universidade de o Minho;1
@UMdicas\UMdicas-122-Entrevista3.md*;1
Escolas Secundárias;1
Universidade a o Escolas;1
Universidade Portuguesa;1
Licenciatura em Engenharia de polímero;1
Assistente Estagiária;1
Departamentos de Engenharia de Polímeros e Mecânica de o Escola de Engenharia;1
Comissão Diretiva;1
Departamento de Engenharia de polímero;1
Engenharia de Material;1
UA;1
FCT-UNL;1
Departamento de Engenharia Metalúrgica;1
UA - Departamento de Engenharia de Materiais e Cerâmica;1
FCT-UNL - Departamento de Ciência de o Materiais;1
Engenharia de Materiais de o UMinho;1
WESP;1
FP7 de o Comissão Europeia;1
International Symposium;1
Centro ALGORITMI;1
Displr;1
Graduação em Contabilidade Pública;1
Agencia Nacional de Compras Públicas;1
Sector de Contabilidade e Gestão de Stocks?;1
Concursos Públicos;1
Autoridade Tributaria;1
Departamento de Psicologia de o Instituto de Educação e Psicologia;1
Universidade de Leiden;1
The Times;1
Secretariado de o Escola;1
Mestrado Integrado em psicologia;1
Estatística;1
ESI - Engenharia;1
Soluções e Inovação?;1
Grupo Amorim;1
Polisport;1
IKEA|Swedwood;1
Empresas Portuguesas;1
Eurosport;1
Federação de Andebol de Portugal;1
CO;1
Seleção Nacional Universitária de Andebol;1
Federação Portuguesa de Andebol;1
Xico Andebol;1
CCR Fermentões;1
CIPRL;1
Voluntariado Desportivo;1
Banco Local de Voluntariado de o CMguimarães;1
Associação Cultural e Desportiva Jardim de o Serra;1
APD;1
Gabinete de Ação Social;1
Equipa de Qualidade;1
Diretora de o Departamento Financeiro;1
Diretora de o Departamento Apoio Social;1
Diretora DAF;1
MCI;1
associação Internacional de Clubes Lions;1
Setor de o Alojamento;1
Departamento Apoio Social;1
SASUM?Quais;1
BAL;1
PME;1
Diretora;1
Sector de secretariado de o Departamento Alimentar de o SASUM;1
Sector de secretariado de o Departamento Alimentar?;1
Licenciatura?;1
PLI;1
Comissão Pedagógica de o Senado Académico;1
Departamento de Estudos Curriculares e Tecnologia Educativa em o Comissão Diretiva;1
Conselho de Cursos;1
Licenciatura em Educação?;1
IPSS;1
Relatório-Síntese Global;1
Comissão de avaliação Externa;1
CAE;1
Inocentes;1
USA for Africa;1
Escola por Medida;1
Departamento de Economia de o UMinho;1
Tinbergen Institute;1
Conselho Pedagógico de o EEG;1
Económica;1
Microeconomia e Macroeconomia;1
Economia Aplicada;1
associação Recreativa e Cultural de o Universidade de o Minho;1
Grupo de Folclore de o Universidade de o Minho;1
Escola de Música;1
Braga-Capital Europeia de o Juventude;1
Grupo Folclórico?;1
XXV FITU;1
Grupo de Folclore;1
Área de Estudos Espanhóis de o Instituto de Letras e Ciências Humanas;1
Área de Estudos Espanhóis de o UMinho;1
USC;1
Barça;1
Associação de Antigos Estudantes de o Universidade de o Minho;1
Linkedin;1
Alumni de o país;1
Alumni UMinho;1
Conselho Alumni;1
Alumni de o UMinho;1
João Coutinhas*;1
Departamento de Formação de o AAEUM;1
AAEUM Academia;1
Tolinhos;1
ordem;1
Coro?;1
Europeu Universitário de Andebol;1
Comité Organizador de o Europeu Universitário de Andebol;1
Federação de Andebol;1
Comité;1
Arbitragem;1
Direção de o Associação de Andebol de Braga;1
Clubes e Agentes de o Modalidade;1
Serviços Sociais de o Universidade de o Minho;1
Arsenal de o Devesa;1
Andebol Universitário;1
Tetra;1
SAS de o Norte;1
Variante Arqueologia;1
Comissão Externa de avaliação;1
Conselho Pedagógico de o ICS;1
Licenciatura em Arqueologia?;1
Unidade de Arqueologia de o Universidade;1
UAUM;1
MADDS;1
Serviço de o Seleção Sub-21;1
Andebol de o Uminho;1
Escola de Música, Artes Performativas e Artes Plásticas;1
Câmara de Guimarães;1
ECUM;1
Licenciatura em Biologia Aplicada?;1
Velvet Underground;1
Sonic Youth;1
Departamento de Música;1
Academia de Música de Viana;1
Bomboémia?;1
Grupo de Cabeçudos;1
Associação Recreativa e Cultural Universitário de o Minho;1
UMdicas-135-Entrevista1;1
europeu de Sub-21;1
Clube de Taekwondo Lobos Negros;1
Campeã Nacional Sénior;1
Vice-Campeã Europeia Universitária;1
Portuguesa;1
Apuramento Europeu;1
Juiz Conselheiro Jubilado de o Supremo Tribunal de Justiça;1
Regime de Direito Privado;1
Reitores de o Universidades Portuguesas;1
Universidade Completa;1
Escola de Belas Artes de o Porto;1
Faculdade de Arquitetura de o Universidade de o Porto;1
FAUP;1
Mestrado Integrado em Arquitetura;1
Adagietto de o 5ª Sinfonia de Mahler;1
Boussole;1
Grupo de Poesia?;1
Alta Competição?;1
Ortopedia ou anestesiologia;1
Ortopedia;1
vitória;1
SE CHEGA;1
Comité Organizador de o Mundial Universitário de Badminton;1
Universidade de o Beira-Interior;1
Marketing e Imagem;1
Administração de o Pastelarias e;1
Departamento Desportivo e Cultural de o Serviços de Ação Social;1
FACTO de TER TIDO;1
ESPÍRITO DE MISSÃO e DE PROCURA PELO;1
Federação Internacional de Pentatlo Moderno?;1
UIPM;1
Federação Internacional;1
Biologia, o Ciências de Computação;1
Mestrado Integrado em Medicina;1
Boavista FC;1
Escola de Formação de Executivos;1
UMinho Exec;1
Quadro Europeu Comum de Referência;1
Serviços de Acção Social de o Porto;1
Proteção Civil, Desporto e Turismo;1
APOGESD?;1
Proteção Civil,;1
Liga de Futebol Profissional;1
Vitória;1
Moreirense;1
Capital Europeia de o Desporto;1
ACES Europe;1
Academia de Artes Marciais e Desportos de Combate;1
AEC’s;1
Centro Ciência Viva;1
Departamento de Psicologia Aplicada;1
Provedor de o estudante;1
provedora de o Estudante de o UMinho;1
Engenharia Electrónica Industrial;1
Engenharia Clínica;1
Eletrónica Médica;1
Informática Médica;1
CSIC Madrid;1
Katholieke Universiteit Leuven;1
University of Twente;1
Massachusetts Institute of Technology;1
Nacional de Saúde;1
INEB;1
BIAL;1
Grupo de Comunicações;1
Departamento específico;1
Eletrónica Industrial, Sistemas de Informação e Informática;1
Licenciatura de Comunicações;1
Núcleo de Estudantes de Engenharia de Telecomunicações e Informática;1
Engenharia de Telecomunicações e Informática?;1
Engenheiros de Telecomunicações e Informática;1
Telecomunicações e Informática e Eletrónica;1
Telecomunicações;1
Sistemas de Telecomunicações;1
Junta de São Victor;1
Rufar;1
The Budapest International Wine Festival;1
Instituto para o Bio-Sustentabilidade;1
Autarquia de Guimarães;1
Projeto Bosch;1
Unidade Operacional de o Universidade de o Nações Unidas;1
Agência Nacional de Proteção Civil;1
Fundo de Emergência Social;1
Relatórios de Sustentabilidade;1
Consórcio UNorte**;1
Fundação**;1
Tuna Académica de o Universidade Fernando Pessoa;1
Tuna Académica de o Externato Infante D. Henrique;1
FITU Bracara Avgvsta;1
Associativismo, Saúde e Bem-estar;1
Parlamento Concelhio;1
ACES Braga;1
Capital IberoAmericana de o Juventude;1
Área Desportiva Útil;1
StartUp Braga;1
Saúde e Economia;1
Departamento de Engenharia Mecânica de o;1
SPB?;1
SPB;1
Clínica de o Dragão - Espregueira Mendes;1
FIFA Medical Centre of Excellence;1
CNN;1
Engenharia Mecânica de o UMinho;1
sDUM;1
CE;1
Ciência Aberta;1
Responsible Research and Innovation;1
RRI;1
Instituto Politécnico de Viana de o Castelo;1
Núcleo de Estudantes de Estatística de o Universidade de o Minho;1
Formação de quadro técnico;1
Técnico Superior de o Serviços de Acção Social de o Universidade de o Minho;1
FPF?;1
futsal;1
Futebol e Futebol de Praia;1
Futebol de Praia português;1
Futebol de Praia?;1
Portugal Football School;1
Licenciatura em Design e Marketing de Moda;1
Licenciatura em Design e Marketing de Moda?;1
Jograis?;1
Cosmos;1
NinaDesentope;1
Grupo de Jograis;1
Jerónimo;1
Divertimento;1
Gabinete de Sistemas de Informação de o UMinho;1
Administrador de o Ação Social;1
Universidade para Fundação;1
Universidade em Guimarães;1
LCB;1
Certificação de o Qualidade ISO 9001;1
INA;1
Academia*;1
Engenharia Económica;1
Assistente Direção Financeira;1
Relações Internacionais e Mestrando em Direitos Humanos;1
Eurodeputado;1
Marília;1
PPE;1
Partido Popular Europeu;1
Fundo Europeu para Investimentos Estratégicos;1
Telecom Portugal;1
AG;1
Direção de o AAUM;1
Departamento de Gestão de Associados & Marketing;1
Estudantes de o Ensino Superior;1
ciência, Tecnologia e Ensino Superior;1
Instituições de Ensino;1
Amazon?;1
Apple;1
Engenharia Civil por o;1
Instituto de Estudos Sociais de Haia;1
II-3B;1
presidente de o Conselho Geral;1
Unidade Curricular de Filosofia em Portugal I;1
Licenciatura em Filosofia?;1
NEFILUM;1
Jornadas ILCH;1
Comunidade de Leitores de Filosofia, Jantar de Finalista;1
Comissão de avaliação de o C.A.E.;1
UC de Filosofia de o Tecnologia;1
Comunidade de Leitores de Filosofia;1
Núcleo de Estudantes de Filosofia de o Universidade de o Minho;1
Associação Académica de o Universidade de Aveiro;1
Federação Desportiva;1
Ativa de o Europa;1
Campeonatos Nacionais Universitários de 2019;1
Gabinete de Promoção de o Sucesso Académico;1
Comissão Bipartida;1
Emprego Científico - Modalidade Institucional;1
ISEE;1
Advanced Management Programme;1
IT Peers;1
Profimetrics;1
Cardmobili;1
COTEC Portugal;1
CNEI;1
Conselho Nacional para o Empreendedorismo e Inovação;1
Cultura Árabe;1
Sociedade Portuguesa;1
Sindicatos;1
Unidades de Negócio de Conhecimento;1
Universidade Portuguesa em Investigação Aplicada;1
Educação Contínua;1
Grupo Socio Cultural Novos Talentos;1
Sub 21;1
Associação de Estudantes de o Faculdade de Engenharia de o Universidade de o Porto;1
Estados Membros;1
Organização de o Nações Unidas;1
considera;1
Movimento Associativo Nacional;1
Constituição de o República Portuguesa;1
CNU’s 2019;1
GFUM?;1
Conselho de Presidentes de o Unidades Orgânicas;1
CCDR;1
UNorte PT;1
Editora UMinho;1
Editora;1
serviço [de Ação Social;1
Escola de o Engenharia;1
Escola de_ psicologia;1
Igreja;1
Bosch Car Multimédia?;1
Bosch Car Multimédia Portugal;1
Human Machine Interface Excellence;1
Universidade e Indústria;1
Bosch?;1
Bosch Car Multimedia;1
Laboratório de Manufatura Avançada de Produtos e Ferramentas;1
UMinho-Bosch;1
CVR;1
Sensible Car;1
Smart Manufacturing;1
Clube de Fornecedores;1
Pacto Global de o Nações Unidas;1
THE University Impact Rankings;1
Advisory Committee;1
International Sustainable Campus Network;1
Steering Committee Meeting;1
Risk AquaSoil;1
Sustentabilidade Ambiental em o;1
Biologia ou Biologia Aplicada;1
Plano de Atividades de o Serviços;1
Campi Universitários;1
Serviços de Acção Social de Trás-os-Montes e Alto Douro;1
Altice Forum;1
Agência de Modernização Administrativa;1
Fundo Ambiental;1
Conselho de Ministros o Roteiro de o Neutralidade Carbónica;1
Programa Operacional para a Sustentabilidade e Eficiência em o Utilização de Recursos;1
Gabinete para a Inclusão de o Universidade;1
Institutos de o Universidade;1
Unidade de Educação Médica;1
Campeonatos Nacionais Universitários de doze para oito;1
provedora de o Estudante de o Universidade de o Minho;1
provedora de o Estudante;1
Universidade eu;1
Provedor Estudante;1
Melhor Universidade Europeia de o Década;1
European Universities Sports Association;1
@UMdicas\UMdicas-171-Entrevista1;1
Direção-Geral de Saúde;1
serviço ser serviço de Acção Social de o Universidade de o Minho;1
Covid-19?;1
CEiiA;1
STAYAWAY;1
POINT Summit;1
Pandemia;1
PAIE;1
Comissão de Elaboração e Gestão de o Plano de Contingência Interno COVID-19;1
Tecnologia de Fachadas e Envolventes de Edifícios;1
Escolas de Engenharia e Arquitetura;1
Direção-Geral de o Saúde;1
USAAE;1
Provedora de o estudante;1
Pró-Reitor para Especiais;1
Conselho!;1
Comissão Especializada de Governação, Assuntos Institucionais e Assuntos Financeiros;1
Divisão de Bolsas de o SASUM;1
SAS de o Ensino Superior;1
Desert Rose;1
Diretora de Comunicação;1
Intervenção Comunitária;1
Recursos Humanos…;1
gabinete de o Provedor;1
Conselho de Curadores de o Universidade de o Minho;1
Ensino Superior Universitário;1
Comunidade de pessoa;1
MOMENTMUM;1
Tuna!;1
representante de o Estudantes em o Órgãos de Governo de o UMinho;1
Associativismo;1
CC?;1
GNRation;1
Vermelhinhos;1
TUM?;1
Departamento Alimentar de o Serviços de Acção Social de o Universidade de o Minho;1
Instituto de o Juventude;1
The Corrs & Bono;1
